team_index,season_id,team_id,team_name,ch_id
416,25,t2551,Cara Maria Sorbello,2180
417,25,t2551,Cara Maria Sorbello,2182
418,25,t2552,Johnny Reilly,2186
419,25,t2552,Johnny Reilly,2198
420,25,t2552,Johnny Reilly,2196
421,25,t2552,Johnny Reilly,2149
422,25,t2552,Johnny Reilly,2157
423,25,t2552,Johnny Reilly,2176
424,25,t2552,Johnny Reilly,2180
425,25,t2552,Johnny Reilly,2210
426,25,t2552,Johnny Reilly,2145
427,25,t2552,Johnny Reilly,2182
428,25,t2553,Camila Nakagawa,2220
429,25,t2553,Camila Nakagawa,2172
430,25,t2553,Camila Nakagawa,2224
431,25,t2553,Camila Nakagawa,2214
432,25,t2553,Camila Nakagawa,2170
433,25,t2553,Camila Nakagawa,2218
434,25,t2553,Camila Nakagawa,2208
435,25,t2553,Camila Nakagawa,2216
436,25,t2553,Camila Nakagawa,2143
437,25,t2553,Camila Nakagawa,2200
438,25,t2554,Devyn Simone,2198
439,25,t2554,Devyn Simone,2170
440,25,t2554,Devyn Simone,2196
441,25,t2554,Devyn Simone,2149
442,25,t2554,Devyn Simone,2180
443,25,t2554,Devyn Simone,2143
444,25,t2554,Devyn Simone,2182
445,25,t2555,Johnny Reilly,2220
446,25,t2555,Johnny Reilly,2172
447,25,t2555,Johnny Reilly,2214
448,25,t2555,Johnny Reilly,2186
449,25,t2555,Johnny Reilly,2216
450,25,t2555,Johnny Reilly,2200
451,25,t2555,Johnny Reilly,2145
452,25,t2556,CT Tamburello,2170
453,25,t2556,CT Tamburello,2182
454,25,t2557,Cohutta Grindstaff,2172
455,25,t2557,Cohutta Grindstaff,2214
456,25,t2558,Johnny Reilly,2186
457,25,t2558,Johnny Reilly,2180
458,25,t2559,Devyn Simone,2196
459,25,t2559,Devyn Simone,2216
460,25,t2560,Theresa Jones,2143
461,25,t2560,Theresa Jones,2145
462,25,t2561,Cara Maria Sorbello,2198
463,25,t2561,Cara Maria Sorbello,2149
464,25,t2562,Theresa Jones,2145
465,25,t2562,Theresa Jones,2182
466,25,t2563,Johnny Bananas,2172
467,25,t2563,Johnny Bananas,2143
468,25,t2564,Cara Maria Sorbello,2170
469,25,t2564,Cara Maria Sorbello,2198
470,25,t2565,Johnny Reilly,2186
471,25,t2565,Johnny Reilly,2196
472,25,t2566,Laurel Stucky,2180
473,25,t2566,Laurel Stucky,2216
474,29,t2901,d1/3,3725
475,29,t2902,d1/3,3723
476,29,t2903,d1,4744
477,29,t2904,d1,4752
478,29,t2905,d1,4742
479,29,t2906,d1,3634
480,29,t2907,d1,2698
481,29,t2908,d1,2161
482,29,t2909,d1/3,2479
483,29,t2910,d1/3,2222
484,29,t2911,d1/3,4792
485,29,t2912,d1/3,4748
486,29,t2913,d1,2700
487,29,t2914,d1,4776
488,29,t2915,d1,2702
489,29,t2916,d1,4746
490,29,t2917,d1,4740
491,29,t2918,d1,2270
492,29,t2919,d2,3725
493,29,t2919,d2,3723
494,29,t2920,d2,4744
495,29,t2920,d2,4752
496,29,t2921,d2,4742
497,29,t2921,d2,3634
498,29,t2922,d2,2698
499,29,t2922,d2,2161
500,29,t2923,d2,2479
501,29,t2923,d2,2222
502,29,t2924,d2,4792
503,29,t2924,d2,4748
,,t2925,underdog,3634
,,t2925,underdog,3725
,,t2925,underdog,2698
,,t2925,underdog,4776
,,t2925,underdog,2479
,,t2925,underdog,3723
,,t2925,underdog,2161
,,t2925,underdog,4742
,,t2925,underdog,4748
,,t2925,underdog,2700
,,t2925,underdog,2702
,,t2925,underdog,4746
,,t2926,champ,2379
,,t2926,champ,2170
,,t2926,champ,2224
,,t2926,champ,2172
,,t2926,champ,2216
,,t2926,champ,2198
,,t2926,champ,2264
,,t2926,champ,2182
,,t2927,d5,3725
,,t2927,d5,3723
,,t2928,d5,2172
,,t2928,d5,2216
,,t2929,d5,2479
,,t2929,d5,4748
,,t2930,d5,2170
,,t2930,d5,2198
,,t2931,d5,4742
,,t2931,d5,3634
,,t2932,d5,2379
,,t2932,d5,2264
,,t2933,d5,2700
,,t2933,d5,4776
,,t2934,d5,2182
,,t2934,d5,2224
,,t2935,d5,2698
,,t2935,d5,2161
,,t2936,d8,2479
,,t2936,d8,4776
,,t2937,d8,2379
,,t2937,d8,2216
,,t2938,d8,3725
,,t2938,d8,3723
,,t2939,d8,4742
,,t2939,d8,3634
,,t2940,d8,2170
,,t2940,d8,2224
,,t2941,d8,2698
,,t2941,d8,2161
